Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2265.35,2266.69,0,0,0,0
SPX US 2/17/2017 C500 Index,500,1759.4,1763.7,0,0,12,14
SPX US 2/17/2017 C1000 Index,1000,1259.8,1264,0,0,14,12
SPX US 2/17/2017 C1500 Index,1500,760.3,764.5,0,0,9,10
SPX US 2/17/2017 C2000 Index,2000,262.2,266.2,0,0,50,51
SPX US 2/17/2017 P2000 Index,2000,1.25,1.4,1,0,49,25
SPX US 2/17/2017 C2100 Index,2100,164.4,168,0,0,50,51
SPX US 2/17/2017 P2100 Index,2100,3.1,3.8,1,0,790,871
SPX US 2/17/2017 C2200 Index,2200,74,75.4,0,0,46,51
SPX US 2/17/2017 P2200 Index,2200,10.8,11.7,1,0,625,557
SPX US 2/17/2017 C2250 Index,2250,34.7,36.1,0,0,153,424
SPX US 2/17/2017 P2250 Index,2250,21.7,22.7,1,0,154,370
SPX US 2/17/2017 C2270 Index,2270.00,22.20,23.60,0.00,0.00,401.00,633.00
SPX US 2/17/2017 P2270 Index,2270.00,29.00,30.30,1.00,0.00,154.00,330.00
SPX US 2/17/2017 C2300 Index,2300,9.5,10.1,0,0,51,635
SPX US 2/17/2017 P2300 Index,2300,45.1,47.9,1,0,48,51
SPX US 2/17/2017 C2400 Index,2400,0.35,0.8,0,0,55,899
SPX US 2/17/2017 P2400 Index,2400,135.4,139.5,1,0,59,61
SPX US 2/17/2017 P2500 Index,2500,234.9,239,1,0,12,14
SPX US 2/17/2017 P2600 Index,2600,334.9,339,1,0,12,14
SPX US 2/17/2017 P2700 Index,2700,434.6,438.8,1,0,12,14
