Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0.00,2265.35,2266.69,0.00,0.00,0.00,0.00
SPX US 2/17/2017 C500 Index,500.00,1759.40,1763.70,0.00,0.00,12.00,14.00
SPX US 2/17/2017 C1000 Index,1000.00,1259.80,1264.00,0.00,0.00,14.00,12.00
SPX US 2/17/2017 C1500 Index,1500.00,760.30,764.50,0.00,0.00,9.00,10.00
SPX US 2/17/2017 C2000 Index,2000.00,262.20,266.20,0.00,0.00,50.00,51.00
SPX US 2/17/2017 P2000 Index,2000.00,1.25,1.40,1.00,0.00,49.00,25.00
SPX US 2/17/2017 C2100 Index,2100.00,164.40,168.00,0.00,0.00,50.00,51.00
SPX US 2/17/2017 P2100 Index,2100.00,3.10,3.80,1.00,0.00,790.00,871.00
SPX US 2/17/2017 C2200 Index,2200.00,74.00,75.40,0.00,0.00,46.00,51.00
SPX US 2/17/2017 C2250 Index,2250.00,34.70,36.10,0.00,0.00,153.00,424.00
SPX US 2/17/2017 P2250 Index,2250.00,21.70,22.70,1.00,0.00,154.00,370.00
SPX US 2/17/2017 C2275 Index,2275.00,19.40,20.70,0.00,0.00,400.00,590.00
SPX US 2/17/2017 P2275 Index,2275.00,31.00,32.60,1.00,0.00,220.00,290.00
SPX US 2/17/2017 C2300 Index,2300.00,9.50,10.10,0.00,0.00,51.00,635.00
SPX US 2/17/2017 P2300 Index,2300.00,45.10,47.90,1.00,0.00,48.00,51.00
SPX US 2/17/2017 C2400 Index,2400.00,0.35,0.80,0.00,0.00,55.00,899.00
SPX US 2/17/2017 P2400 Index,2400.00,135.40,139.50,1.00,0.00,59.00,61.00
SPX US 2/17/2017 P2500 Index,2500.00,234.90,239.00,1.00,0.00,12.00,14.00
SPX US 2/17/2017 P2600 Index,2600.00,334.90,339.00,1.00,0.00,12.00,14.00
SPX US 2/17/2017 P2700 Index,2700.00,434.60,438.80,1.00,0.00,12.00,14.00
