Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2265.35,2266.69,0,0,0,0
SPX US 2/17/2017 C500 Index,500,1759.40,1763.70,0,0,12,14
SPX US 2/17/2017 C600 Index,600,1659.40,1663.70,0,0,12,14
SPX US 2/17/2017 C700 Index,700,1559.60,1563.80,0,0,12,14
SPX US 2/17/2017 C750 Index,750,1509.40,1513.60,0,0,12,14
SPX US 2/17/2017 C800 Index,800,1459.70,1463.90,0,0,12,14
SPX US 2/17/2017 C850 Index,850,1409.50,1413.70,0,0,12,14
SPX US 2/17/2017 C900 Index,900,1359.70,1363.90,0,0,14,12
SPX US 2/17/2017 C950 Index,950,1309.80,1313.90,0,0,14,12
SPX US 2/17/2017 C1000 Index,1000,1259.80,1264.00,0,0,14,12
SPX US 2/17/2017 C1050 Index,1050,1209.90,1214.00,0,0,14,12
SPX US 2/17/2017 C1075 Index,1075,1185.00,1189.10,0,0,14,12
SPX US 2/17/2017 C1100 Index,1100,1159.90,1164.10,0,0,14,12
SPX US 2/17/2017 C1125 Index,1125,1135.00,1139.10,0,0,14,12
SPX US 2/17/2017 C1150 Index,1150,1110.00,1114.10,0,0,14,12
SPX US 2/17/2017 C1175 Index,1175,1085.00,1089.10,0,0,14,12
SPX US 2/17/2017 C1200 Index,1200,1060.00,1064.20,0,0,14,12
SPX US 2/17/2017 C1225 Index,1225,1035.10,1039.20,0,0,14,12
SPX US 2/17/2017 C1250 Index,1250,1010.10,1014.20,0,0,14,12
SPX US 2/17/2017 C1275 Index,1275,985.20,989.30,0,0,14,12
SPX US 2/17/2017 C1300 Index,1300,960.10,964.30,0,0,14,12
SPX US 2/17/2017 C1325 Index,1325,935.20,939.30,0,0,14,12
SPX US 2/17/2017 C1350 Index,1350,910.20,914.30,0,0,14,12
SPX US 2/17/2017 C1360 Index,1360,900.20,904.30,0,0,14,12
SPX US 2/17/2017 C1370 Index,1370,890.30,894.40,0,0,14,12
SPX US 2/17/2017 C1375 Index,1375,885.40,889.50,0,0,14,12
SPX US 2/17/2017 C1380 Index,1380,880.20,884.30,0,0,14,12
SPX US 2/17/2017 C1390 Index,1390,870.20,874.40,0,0,14,12
SPX US 2/17/2017 C1400 Index,1400,860.20,864.40,0,0,14,12
SPX US 2/17/2017 C1410 Index,1410,850.20,854.40,0,0,14,12
SPX US 2/17/2017 C1420 Index,1420,840.30,844.40,0,0,14,12
SPX US 2/17/2017 C1425 Index,1425,835.40,839.50,0,0,14,12
SPX US 2/17/2017 C1430 Index,1430,830.40,834.50,0,0,14,12
SPX US 2/17/2017 C1435 Index,1435,825.30,829.40,0,0,14,12
SPX US 2/17/2017 C1440 Index,1440,820.30,824.40,0,0,14,12
SPX US 2/17/2017 C1445 Index,1445,815.30,819.40,0,0,14,12
SPX US 2/17/2017 C1450 Index,1450,810.30,814.40,0,0,14,12
SPX US 2/17/2017 C1455 Index,1455,805.30,809.40,0,0,14,12
SPX US 2/17/2017 C1460 Index,1460,800.30,804.40,0,0,14,12
SPX US 2/17/2017 C1465 Index,1465,795.40,799.50,0,0,14,12
SPX US 2/17/2017 C1470 Index,1470,790.50,794.60,0,0,14,12
SPX US 2/17/2017 C1475 Index,1475,785.40,789.50,0,0,14,12
SPX US 2/17/2017 C1480 Index,1480,780.20,784.30,0,0,14,12
SPX US 2/17/2017 C1485 Index,1485,775.30,779.50,0,0,14,12
SPX US 2/17/2017 C1490 Index,1490,770.30,774.50,0,0,12,14
SPX US 2/17/2017 C1495 Index,1495,765.30,769.50,0,0,12,14
SPX US 2/17/2017 C1500 Index,1500,760.30,764.50,0,0,9,10
SPX US 2/17/2017 C1505 Index,1505,755.30,759.50,0,0,9,10
SPX US 2/17/2017 C1510 Index,1510,750.40,754.50,0,0,9,10
SPX US 2/17/2017 C1515 Index,1515,745.40,749.50,0,0,9,10
SPX US 2/17/2017 C1520 Index,1520,740.50,744.60,0,0,9,10
SPX US 2/17/2017 C1525 Index,1525,735.50,739.60,0,0,9,10
SPX US 2/17/2017 C1530 Index,1530,730.40,734.50,0,0,9,10
SPX US 2/17/2017 C1535 Index,1535,725.40,729.50,0,0,9,10
SPX US 2/17/2017 C1540 Index,1540,720.40,724.50,0,0,9,10
SPX US 2/17/2017 C1545 Index,1545,715.40,719.50,0,0,9,10
SPX US 2/17/2017 C1550 Index,1550,710.40,714.50,0,0,9,10
SPX US 2/17/2017 C1555 Index,1555,705.60,709.70,0,0,9,10
SPX US 2/17/2017 C1560 Index,1560,700.60,704.70,0,0,9,10
SPX US 2/17/2017 C1565 Index,1565,695.40,699.50,0,0,9,10
SPX US 2/17/2017 C1570 Index,1570,690.40,694.50,0,0,9,10
SPX US 2/17/2017 C1575 Index,1575,685.40,689.60,0,0,9,10
SPX US 2/17/2017 C1580 Index,1580,680.40,684.60,0,0,9,10
SPX US 2/17/2017 C1585 Index,1585,675.40,679.60,0,0,9,10
SPX US 2/17/2017 C1590 Index,1590,670.40,674.60,0,0,9,10
SPX US 2/17/2017 C1595 Index,1595,665.50,669.60,0,0,9,10
SPX US 2/17/2017 C1600 Index,1600,660.50,664.60,0,0,9,10
SPX US 2/17/2017 C1605 Index,1605,655.60,659.70,0,0,9,10
SPX US 2/17/2017 C1610 Index,1610,650.60,654.70,0,0,9,10
SPX US 2/17/2017 C1615 Index,1615,645.50,649.60,0,0,9,10
SPX US 2/17/2017 C1620 Index,1620,640.50,644.60,0,0,9,10
SPX US 2/17/2017 C1625 Index,1625,635.50,639.60,0,0,9,10
SPX US 2/17/2017 C1630 Index,1630,630.60,634.70,0,0,9,10
SPX US 2/17/2017 C1635 Index,1635,625.70,629.80,0,0,9,10
SPX US 2/17/2017 C1640 Index,1640,620.40,624.50,0,0,9,10
SPX US 2/17/2017 C1645 Index,1645,615.50,619.60,0,0,9,10
SPX US 2/17/2017 C1650 Index,1650,610.50,614.60,0,0,9,10
SPX US 2/17/2017 C1655 Index,1655,605.50,609.70,0,0,9,10
SPX US 2/17/2017 C1660 Index,1660,600.50,604.70,0,0,9,10
SPX US 2/17/2017 C1665 Index,1665,595.60,599.70,0,0,9,10
SPX US 2/17/2017 C1670 Index,1670,590.60,594.70,0,0,9,10
SPX US 2/17/2017 C1675 Index,1675,585.70,589.80,0,0,9,10
SPX US 2/17/2017 C1680 Index,1680,580.70,584.80,0,0,9,10
SPX US 2/17/2017 C1685 Index,1685,575.60,579.70,0,0,9,10
SPX US 2/17/2017 C1690 Index,1690,570.60,574.70,0,0,9,10
SPX US 2/17/2017 C1695 Index,1695,565.80,569.90,0,0,9,10
SPX US 2/17/2017 C1700 Index,1700,560.80,564.90,0,0,9,10
SPX US 2/17/2017 C1705 Index,1705,555.60,559.70,0,0,9,10
SPX US 2/17/2017 C1710 Index,1710,550.60,554.70,0,0,9,10
SPX US 2/17/2017 C1715 Index,1715,545.60,549.80,0,0,9,10
SPX US 2/17/2017 C1720 Index,1720,540.70,544.80,0,0,9,10
SPX US 2/17/2017 C1725 Index,1725,535.70,539.80,0,0,9,10
SPX US 2/17/2017 C1730 Index,1730,530.80,534.90,0,0,9,10
SPX US 2/17/2017 C1735 Index,1735,525.80,529.90,0,0,9,10
SPX US 2/17/2017 C1740 Index,1740,520.70,524.90,0,0,9,10
SPX US 2/17/2017 C1745 Index,1745,515.90,520.00,0,0,9,10
SPX US 2/17/2017 C1750 Index,1750,510.90,515.00,0,0,9,10
SPX US 2/17/2017 C1755 Index,1755,505.70,509.80,0,0,9,10
SPX US 2/17/2017 C1760 Index,1760,500.70,504.80,0,0,9,10
SPX US 2/17/2017 C1765 Index,1765,495.80,499.90,0,0,9,10
SPX US 2/17/2017 C1770 Index,1770,490.80,494.90,0,0,9,10
SPX US 2/17/2017 C1775 Index,1775,485.90,490.00,0,0,9,10
SPX US 2/17/2017 C1780 Index,1780,480.90,485.00,0,0,9,10
SPX US 2/17/2017 C1785 Index,1785,476.00,480.10,0,0,9,10
SPX US 2/17/2017 C1790 Index,1790,471.00,475.10,0,0,9,10
SPX US 2/17/2017 P1790 Index,1790,0.10,0.60,1,0,10,1289
SPX US 2/17/2017 C1795 Index,1795,465.80,469.90,0,0,9,10
SPX US 2/17/2017 C1800 Index,1800,461.00,465.10,0,0,9,10
SPX US 2/17/2017 C1805 Index,1805,455.90,460.00,0,0,9,10
SPX US 2/17/2017 P1805 Index,1805,0.05,0.55,1,0,1111,10
SPX US 2/17/2017 C1810 Index,1810,451.00,455.10,0,0,9,10
SPX US 2/17/2017 P1810 Index,1810,0.15,0.60,1,0,11,1075
SPX US 2/17/2017 C1815 Index,1815,446.00,450.00,0,0,9,10
SPX US 2/17/2017 P1815 Index,1815,0.10,0.65,1,0,963,1241
SPX US 2/17/2017 C1820 Index,1820,441.00,445.10,0,0,9,10
SPX US 2/17/2017 P1820 Index,1820,0.10,0.65,1,0,1021,1158
SPX US 2/17/2017 C1825 Index,1825,435.90,440.00,0,0,9,10
