Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.324410e+03,2.325310e+03,0,0,0,0
ESH7 Index,0,2.322750e+03,2323,0,1,216,263
SPX US 3/17/2017 C300 Index,300,2.014900e+03,2027,0,0,12,12
SPX US 3/17/2017 C400 Index,400,1915,1.927100e+03,0,0,12,12
SPX US 3/17/2017 C500 Index,500,1.815100e+03,1.827200e+03,0,0,12,12
SPX US 3/17/2017 C600 Index,600,1.715200e+03,1.727300e+03,0,0,12,12
SPX US 3/17/2017 C700 Index,700,1.615300e+03,1.627400e+03,0,0,12,12
SPX US 3/17/2017 C750 Index,750,1.565400e+03,1.577400e+03,0,0,12,12
SPX US 3/17/2017 C800 Index,800,1.515400e+03,1.527500e+03,0,0,12,12
SPX US 3/17/2017 C850 Index,850,1.465400e+03,1.477500e+03,0,0,12,12
SPX US 3/17/2017 C900 Index,900,1.415500e+03,1.427600e+03,0,0,12,12
SPX US 3/17/2017 C950 Index,950,1.365500e+03,1.377600e+03,0,0,12,12
SPX US 3/17/2017 C1000 Index,1000,1.315600e+03,1.327700e+03,0,0,12,12
SPX US 3/17/2017 C1025 Index,1025,1.290600e+03,1.302700e+03,0,0,12,12
SPX US 3/17/2017 C1050 Index,1050,1.265600e+03,1.277700e+03,0,0,12,12
SPX US 3/17/2017 C1075 Index,1075,1.240700e+03,1.252700e+03,0,0,12,12
SPX US 3/17/2017 C1100 Index,1100,1.215700e+03,1.227800e+03,0,0,12,12
SPX US 3/17/2017 C1125 Index,1125,1.190700e+03,1.202800e+03,0,0,12,12
SPX US 3/17/2017 C1150 Index,1150,1.165700e+03,1.177800e+03,0,0,12,12
SPX US 3/17/2017 C1175 Index,1175,1.140800e+03,1.152800e+03,0,0,12,12
SPX US 3/17/2017 C1200 Index,1200,1.115800e+03,1.127900e+03,0,0,12,12
SPX US 3/17/2017 C1225 Index,1225,1.090800e+03,1.102900e+03,0,0,12,12
SPX US 3/17/2017 C1250 Index,1250,1.065800e+03,1.077900e+03,0,0,12,12
SPX US 3/17/2017 C1275 Index,1275,1.040900e+03,1.052900e+03,0,0,12,12
SPX US 3/17/2017 C1300 Index,1300,1.015900e+03,1028,0,0,12,12
SPX US 3/17/2017 C1325 Index,1325,9.909000e+02,1003,0,0,12,12
SPX US 3/17/2017 C1350 Index,1350,9.659000e+02,978,0,0,12,12
SPX US 3/17/2017 C1375 Index,1375,941,953,0,0,12,12
SPX US 3/17/2017 C1400 Index,1400,916,9.281000e+02,0,0,12,12
SPX US 3/17/2017 C1420 Index,1420,896,9.081000e+02,0,0,12,12
SPX US 3/17/2017 C1425 Index,1425,891,9.031000e+02,0,0,12,12
SPX US 3/17/2017 C1440 Index,1440,876,8.881000e+02,0,0,12,12
SPX US 3/17/2017 C1450 Index,1450,866,8.781000e+02,0,0,12,12
SPX US 3/17/2017 C1460 Index,1460,8.561000e+02,8.681000e+02,0,0,12,12
SPX US 3/17/2017 C1470 Index,1470,8.461000e+02,8.581000e+02,0,0,12,12
SPX US 3/17/2017 C1475 Index,1475,8.411000e+02,8.532000e+02,0,0,12,12
SPX US 3/17/2017 C1480 Index,1480,8.361000e+02,8.482000e+02,0,0,12,12
SPX US 3/17/2017 C1485 Index,1485,8.311000e+02,8.432000e+02,0,0,12,12
SPX US 3/17/2017 C1490 Index,1490,8.261000e+02,8.382000e+02,0,0,12,12
SPX US 3/17/2017 C1495 Index,1495,8.211000e+02,8.332000e+02,0,0,12,12
SPX US 3/17/2017 C1500 Index,1500,8.161000e+02,8.282000e+02,0,0,12,12
SPX US 3/17/2017 C1505 Index,1505,8.111000e+02,8.232000e+02,0,0,12,12
SPX US 3/17/2017 C1510 Index,1510,8.061000e+02,8.182000e+02,0,0,12,12
SPX US 3/17/2017 C1515 Index,1515,8.011000e+02,8.132000e+02,0,0,12,12
SPX US 3/17/2017 C1520 Index,1520,7.961000e+02,8.082000e+02,0,0,12,12
SPX US 3/17/2017 C1525 Index,1525,7.911000e+02,8.032000e+02,0,0,12,12
SPX US 3/17/2017 C1530 Index,1530,7.862000e+02,7.982000e+02,0,0,12,12
SPX US 3/17/2017 C1535 Index,1535,7.812000e+02,7.932000e+02,0,0,12,12
SPX US 3/17/2017 C1540 Index,1540,7.762000e+02,7.882000e+02,0,0,12,12
SPX US 3/17/2017 C1545 Index,1545,7.712000e+02,7.832000e+02,0,0,12,12
SPX US 3/17/2017 C1550 Index,1550,7.662000e+02,7.782000e+02,0,0,12,12
SPX US 3/17/2017 C1555 Index,1555,7.612000e+02,7.733000e+02,0,0,12,12
SPX US 3/17/2017 C1560 Index,1560,7.562000e+02,7.683000e+02,0,0,12,12
SPX US 3/17/2017 C1565 Index,1565,7.512000e+02,7.633000e+02,0,0,12,12
SPX US 3/17/2017 C1570 Index,1570,7.462000e+02,7.583000e+02,0,0,12,12
SPX US 3/17/2017 C1575 Index,1575,7.412000e+02,7.533000e+02,0,0,12,12
SPX US 3/17/2017 C1580 Index,1580,7.362000e+02,7.483000e+02,0,0,12,12
SPX US 3/17/2017 C1585 Index,1585,7.312000e+02,7.433000e+02,0,0,12,12
SPX US 3/17/2017 C1590 Index,1590,7.262000e+02,7.383000e+02,0,0,12,12
SPX US 3/17/2017 C1595 Index,1595,7.212000e+02,7.333000e+02,0,0,12,12
SPX US 3/17/2017 C1600 Index,1600,7.163000e+02,7.283000e+02,0,0,12,12
SPX US 3/17/2017 C1605 Index,1605,7.113000e+02,7.233000e+02,0,0,12,12
SPX US 3/17/2017 C1610 Index,1610,7.063000e+02,7.183000e+02,0,0,12,12
SPX US 3/17/2017 C1615 Index,1615,7.013000e+02,7.133000e+02,0,0,12,12
SPX US 3/17/2017 C1620 Index,1620,6.963000e+02,7.083000e+02,0,0,12,12
SPX US 3/17/2017 C1625 Index,1625,6.913000e+02,7.034000e+02,0,0,12,12
SPX US 3/17/2017 C1630 Index,1630,6.863000e+02,6.984000e+02,0,0,12,12
SPX US 3/17/2017 C1635 Index,1635,6.813000e+02,6.934000e+02,0,0,12,12
SPX US 3/17/2017 C1640 Index,1640,6.763000e+02,6.884000e+02,0,0,12,12
SPX US 3/17/2017 C1645 Index,1645,6.713000e+02,6.834000e+02,0,0,12,12
SPX US 3/17/2017 C1650 Index,1650,6.663000e+02,6.784000e+02,0,0,12,12
SPX US 3/17/2017 C1655 Index,1655,6.587000e+02,678,0,0,1,1
SPX US 3/17/2017 C1660 Index,1660,6.537000e+02,673,0,0,1,1
SPX US 3/17/2017 C1665 Index,1665,6.487000e+02,668,0,0,1,1
SPX US 3/17/2017 C1670 Index,1670,6.438000e+02,6.631000e+02,0,0,1,1
