Ticker,Strike,Bid,Ask,isPut,isFuture,BidSize,AskSize
SPX Index,0,2.057320e+03,2.058650e+03,0,0,0,0
ESM6 Index,0,2.051250e+03,2.051500e+03,0,1,195,136
SPX US 6/17/2016 C300 Index,300,1.747400e+03,1.751100e+03,0,0,1,9
SPX US 6/17/2016 C400 Index,400,1.647200e+03,1.651200e+03,0,0,11,9
SPX US 6/17/2016 C450 Index,450,1.597500e+03,1.601300e+03,0,0,11,9
SPX US 6/17/2016 C500 Index,500,1.547600e+03,1.551400e+03,0,0,11,9
SPX US 6/17/2016 C550 Index,550,1.497400e+03,1.501400e+03,0,0,11,9
SPX US 6/17/2016 C600 Index,600,1.447500e+03,1.451500e+03,0,0,11,9
SPX US 6/17/2016 C650 Index,650,1.397800e+03,1.401500e+03,0,0,11,9
SPX US 6/17/2016 C700 Index,700,1.347800e+03,1.351600e+03,0,0,1,11
SPX US 6/17/2016 C750 Index,750,1.297700e+03,1.301600e+03,0,0,9,11
SPX US 6/17/2016 C775 Index,775,1273,1.276700e+03,0,0,9,11
SPX US 6/17/2016 C800 Index,800,1248,1.251700e+03,0,0,9,11
SPX US 6/17/2016 C825 Index,825,1.222800e+03,1.226700e+03,0,0,9,11
SPX US 6/17/2016 C850 Index,850,1.198100e+03,1.201700e+03,0,0,9,11
SPX US 6/17/2016 C875 Index,875,1.172900e+03,1.176800e+03,0,0,9,11
SPX US 6/17/2016 C900 Index,900,1.148200e+03,1.151800e+03,0,0,9,11
SPX US 6/17/2016 C925 Index,925,1123,1.126800e+03,0,0,9,11
SPX US 6/17/2016 C950 Index,950,1098,1.101900e+03,0,0,9,11
SPX US 6/17/2016 C975 Index,975,1.073300e+03,1.076900e+03,0,0,9,11
SPX US 6/17/2016 C1000 Index,1000,1.048100e+03,1052,0,0,9,11
SPX US 6/17/2016 C1025 Index,1025,1.023200e+03,1027,0,0,9,11
SPX US 6/17/2016 C1050 Index,1050,9.985000e+02,1.002100e+03,0,0,9,11
SPX US 6/17/2016 C1075 Index,1075,9.733000e+02,9.771000e+02,0,0,9,11
SPX US 6/17/2016 C1100 Index,1100,9.486000e+02,9.522000e+02,0,0,9,11
SPX US 6/17/2016 C1120 Index,1120,9.284000e+02,9.322000e+02,0,0,9,11
SPX US 6/17/2016 C1125 Index,1125,9.235000e+02,9.272000e+02,0,0,1,11
SPX US 6/17/2016 C1140 Index,1140,9.087000e+02,9.123000e+02,0,0,9,11
SPX US 6/17/2016 C1150 Index,1150,8.985000e+02,9.023000e+02,0,0,9,11
SPX US 6/17/2016 C1160 Index,1160,8.885000e+02,8.923000e+02,0,0,9,11
SPX US 6/17/2016 C1175 Index,1175,8.738000e+02,8.773000e+02,0,0,9,11
SPX US 6/17/2016 P1175 Index,1175,5.000000e-02,5.500000e-01,1,0,1491,1501
SPX US 6/17/2016 C1180 Index,1180,8.686000e+02,8.724000e+02,0,0,9,11
SPX US 6/17/2016 P1180 Index,1180,5.000000e-02,5.500000e-01,1,0,1491,1501
SPX US 6/17/2016 C1200 Index,1200,8.489000e+02,8.524000e+02,0,0,9,11
SPX US 6/17/2016 P1200 Index,1200,5.000000e-02,6.000000e-01,1,0,1592,1501
SPX US 6/17/2016 C1210 Index,1210,8.387000e+02,8.424000e+02,0,0,9,11
SPX US 6/17/2016 P1210 Index,1210,1.000000e-01,6.000000e-01,1,0,1493,1501
SPX US 6/17/2016 C1220 Index,1220,8.287000e+02,8.325000e+02,0,0,9,11
SPX US 6/17/2016 P1220 Index,1220,1.000000e-01,6.000000e-01,1,0,1495,1501
SPX US 6/17/2016 C1225 Index,1225,824,8.275000e+02,0,0,9,11
SPX US 6/17/2016 P1225 Index,1225,1.000000e-01,6.500000e-01,1,0,1495,1501
